tag,step,value,wall_time
time/fps,6144,825.0,1775502170.3891792
time/fps,12288,726.0,1775502179.8579233
time/fps,18432,706.0,1775502189.0547395
time/fps,24576,704.0,1775502197.814903
time/fps,30720,705.0,1775502206.5208917
time/fps,36864,711.0,1775502214.7318144
time/fps,43008,710.0,1775502223.4824312
time/fps,49152,708.0,1775502232.3451219
time/fps,55296,498.0,1775502273.8795817
time/fps,61440,513.0,1775502282.6643214
time/fps,67584,526.0,1775502291.2648954
time/fps,73728,529.0,1775502302.2053235
time/fps,79872,534.0,1775502312.4202766
time/fps,86016,542.0,1775502321.4719858
time/fps,92160,550.0,1775502330.3617978
time/fps,98304,557.0,1775502339.2816696
time/fps,104448,496.0,1775502373.2610738
time/fps,110592,503.0,1775502382.437702
time/fps,116736,510.0,1775502391.5607703
time/fps,122880,517.0,1775502400.2949636
time/fps,129024,524.0,1775502408.9348454
time/fps,135168,528.0,1775502418.6712182
time/fps,141312,531.0,1775502428.7682872
time/fps,147456,537.0,1775502437.5175848
time/fps,153600,503.0,1775502467.7508128
time/fps,159744,509.0,1775502476.5266678
time/fps,165888,514.0,1775502485.0849414
time/fps,172032,520.0,1775502493.5283794
time/fps,178176,525.0,1775502501.9491277
time/fps,184320,530.0,1775502510.3443992
time/fps,190464,535.0,1775502518.7376196
time/fps,196608,539.0,1775502527.1155696
time/fps,202752,511.0,1775502559.7117321
time/fps,208896,515.0,1775502568.1140447
time/fps,215040,520.0,1775502576.478538
time/fps,221184,524.0,1775502584.8319535
time/fps,227328,528.0,1775502593.4532175
time/fps,233472,531.0,1775502601.9713445
time/fps,239616,535.0,1775502610.4941576
time/fps,245760,538.0,1775502619.0442796
time/fps,251904,516.0,1775502651.1022427
time/fps,258048,519.0,1775502659.5034928
time/fps,264192,523.0,1775502667.9562888
time/fps,270336,526.0,1775502676.4849575
time/fps,276480,529.0,1775502684.8350024
time/fps,282624,532.0,1775502693.2874348
time/fps,288768,535.0,1775502701.893079
time/fps,294912,538.0,1775502710.365122
time/fps,301056,518.0,1775502743.7840455
time/fps,307200,521.0,1775502752.1519992
time/fps,313344,524.0,1775502760.676584
time/fps,319488,527.0,1775502769.182339
time/fps,325632,529.0,1775502777.5457902
time/fps,331776,532.0,1775502785.9941022
time/fps,337920,535.0,1775502794.332943
time/fps,344064,537.0,1775502802.7421227
time/fps,350208,522.0,1775502833.271872
time/fps,356352,525.0,1775502841.6522367
time/fps,362496,527.0,1775502850.1430552
time/fps,368640,529.0,1775502858.5201902
time/fps,374784,532.0,1775502866.8922274
time/fps,380928,534.0,1775502875.3355393
time/fps,387072,537.0,1775502883.6755896
time/fps,393216,539.0,1775502892.1121135
time/fps,399360,541.0,1775502900.4811106
time/fps,405504,524.0,1775502935.7278981
time/fps,411648,526.0,1775502945.026034
time/fps,417792,527.0,1775502954.4502845
time/fps,423936,529.0,1775502963.6385195
time/fps,430080,530.0,1775502973.1078222
time/fps,436224,532.0,1775502982.8138175
time/fps,442368,533.0,1775502992.6158738
time/fps,448512,534.0,1775503002.1467185
time/fps,454656,522.0,1775503032.9831831
time/fps,460800,523.0,1775503042.491429
time/fps,466944,525.0,1775503052.2441113
time/fps,473088,526.0,1775503061.7984395
time/fps,479232,527.0,1775503071.3034763
time/fps,485376,528.0,1775503080.7338529
time/fps,491520,530.0,1775503090.1550946
time/fps,497664,531.0,1775503099.8563
time/fps,503808,519.0,1775503133.4994164
time/fps,509952,520.0,1775503142.9184115
time/fps,516096,521.0,1775503152.29486
time/fps,522240,522.0,1775503161.7879877
time/fps,528384,524.0,1775503171.277813
time/fps,534528,525.0,1775503180.6789274
time/fps,540672,526.0,1775503190.0923817
time/fps,546816,527.0,1775503199.5330596
time/fps,552960,515.0,1775503234.978498
time/fps,559104,516.0,1775503244.499239
time/fps,565248,518.0,1775503253.982292
time/fps,571392,519.0,1775503263.3976588
time/fps,577536,520.0,1775503272.886042
time/fps,583680,521.0,1775503281.770442
time/fps,589824,523.0,1775503290.3425314
time/fps,595968,524.0,1775503298.8469286
time/fps,602112,515.0,1775503331.0610785
time/fps,608256,516.0,1775503339.5169399
time/fps,614400,518.0,1775503348.1136668
time/fps,620544,519.0,1775503356.7146404
time/fps,626688,521.0,1775503365.3100162
time/fps,632832,522.0,1775503373.8368402
time/fps,638976,523.0,1775503382.385065
time/fps,645120,525.0,1775503391.2692182
time/fps,651264,516.0,1775503425.0404613
time/fps,657408,517.0,1775503433.6255498
time/fps,663552,518.0,1775503442.6121354
time/fps,669696,519.0,1775503451.8257551
time/fps,675840,520.0,1775503460.8064268
time/fps,681984,521.0,1775503469.553909
time/fps,688128,523.0,1775503477.8231666
time/fps,694272,524.0,1775503486.5347962
time/fps,700416,515.0,1775503520.4338377
time/fps,706560,517.0,1775503528.9946606
time/fps,712704,518.0,1775503537.7927935
time/fps,718848,519.0,1775503546.085961
time/fps,724992,520.0,1775503554.6995568
time/fps,731136,522.0,1775503563.0212655
time/fps,737280,523.0,1775503571.2976742
time/fps,743424,524.0,1775503580.2108061
time/fps,749568,525.0,1775503588.203303
time/fps,755712,519.0,1775503617.1296356
time/fps,761856,520.0,1775503625.3624191
time/fps,768000,522.0,1775503634.1218948
time/fps,774144,523.0,1775503642.071482
time/fps,780288,524.0,1775503650.1083164
time/fps,786432,525.0,1775503658.351854
time/fps,792576,527.0,1775503666.3594635
time/fps,798720,528.0,1775503674.4798427
time/fps,804864,520.0,1775503708.8569741
time/fps,811008,521.0,1775503717.501108
time/fps,817152,522.0,1775503726.9478471
time/fps,823296,523.0,1775503736.8495688
time/fps,829440,523.0,1775503746.283868
time/fps,835584,524.0,1775503754.962326
time/fps,841728,525.0,1775503763.4889739
time/fps,847872,526.0,1775503772.251429
time/fps,854016,519.0,1775503807.2785642
time/fps,860160,520.0,1775503815.9533477
time/fps,866304,521.0,1775503824.6134043
time/fps,872448,522.0,1775503833.1380806
time/fps,878592,523.0,1775503841.6183956
time/fps,884736,524.0,1775503850.4589167
time/fps,890880,525.0,1775503859.82624
time/fps,897024,525.0,1775503868.3698606
time/fps,903168,519.0,1775503902.945129
time/fps,909312,519.0,1775503912.7443426
time/fps,915456,520.0,1775503922.6676645
time/fps,921600,521.0,1775503931.4446852
time/fps,927744,521.0,1775503941.0184329
time/fps,933888,522.0,1775503950.5678847
time/fps,940032,523.0,1775503960.1821423
time/fps,946176,523.0,1775503969.7949703
time/fps,952320,516.0,1775504005.0005162
time/fps,958464,517.0,1775504014.6580112
